year,state,athlete,article_count,sport,rank
2000,Arizona,"Dudley, Chris",2,Basketball,1
2000,Arizona,"Ewing, Patrick",2,Basketball,1
2000,Arizona,"Grant, Horace",2,Basketball,1
2000,Arizona,"Knight, Travis",2,Basketball,1
2000,Arizona,"Longley, Luc",2,Basketball,1
2000,Arizona,"Maxwell, Vernon",2,Basketball,1
2000,Arizona,"Rice, Glen",2,Basketball,1
2000,California,"Bryant, Kobe",14,Basketball,1
2000,Colorado,"Hampton, Mike",3,Baseball,1
2000,Colorado,"Yoshii, Masato",3,Baseball,1
2000,Connecticut,"Scinto, Daniel",3,Boxing/MMA,1
2000,District of Columbia,"Jordan, Michael",15,Basketball,1
2000,Florida,"Johnson, Keyshawn",16,Football,1
2000,Georgia,"Rocker, John",71,Baseball,1
2000,Illinois,"Sosa, Sammy",13,Baseball,1
2000,Indiana,"Ewing, Patrick",15,Basketball,1
2000,Louisiana,"Ditka, Mike",3,Football,1
2000,Maryland,"Lewis, Ray",14,Football,1
2000,Massachusetts,"Belichick, Bill",12,Football,1
2000,Michigan,"Gonzalez, Juan",7,Baseball,1
2000,Minnesota,"Smith, Joe",7,Basketball,1
2000,Missouri,"Thomas, Derrick",5,Football,1
2000,New Hampshire,"Francis, Julius",2,Boxing/MMA,1
2000,New Hampshire,"Tyson, Mike",2,Boxing/MMA,1
2000,New Jersey,"Marbury, Stephon",17,Basketball,1
2000,New York,"Clemens, Roger",70,Baseball,1
2000,North Carolina,"Phills, Bobby",8,Basketball,1
2000,Ohio,"Griffey, Ken Jr",10,Baseball,1
2000,Oregon,"Grant, Brian",4,Basketball,1
2000,Pennsylvania,"Franco, John",4,Baseball,1
2000,Pennsylvania,"Iverson, Allen",4,Basketball,1
2000,Tennessee,"McNair, Steve",6,Football,1
2000,Tennessee,"Warner, Kurt",6,Football,1
2000,Texas,"Rodriguez, Alex",17,Baseball,1
2000,Utah,"Malone, Karl",3,Basketball,1
2000,Washington,"Ewing, Patrick",23,Basketball,1
2000,Wisconsin,"Groh, Al",4,Football,1
2001,Alabama,"Ashcroft, John",4,Baseball,1
2001,Alabama,"Baxley, Bill",4,Baseball,1
2001,Alabama,"CHAMBLISS, ROBERT",4,Baseball,1
2001,Alabama,"Clinton, Bill",4,Baseball,1
2001,Alabama,"Jones, Doug",4,Baseball,1
2001,Alabama,"Lee, Spike",4,Baseball,1
2001,Alabama,"Reno, Janet",4,Baseball,1
2001,Alabama,"Rudolph, Eric Robert",4,Baseball,1
2001,Arizona,"Kidd, Jason",8,Basketball,1
2001,California,"Bonds, Barry",33,Baseball,1
2001,Colorado,"AGBAYANI, BENNY",4,Baseball,1
2001,Colorado,"Valentine, Bobby",4,Baseball,1
2001,Connecticut,"Camby, Marcus",10,Basketball,1
2001,Delaware,"Camby, Marcus",2,Basketball,1
2001,District of Columbia,"Jordan, Michael",36,Basketball,1
2001,Florida,"Mourning, Alonzo",10,Basketball,1
